Year,Series,Units,Géographie,Value
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Toronto, Ontario",0.1284
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Montréal, Québec",0.2237
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Vancouver, Colombie-Britannique",0.0566
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Calgary, Alberta",0.1205
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Ottawa - Gatineau, Ontario et Québec",0.1467
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Edmonton, Alberta",0.0742
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Winnipeg, Manitoba",0.2758
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Québec, Québec",0.1232
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kitchener, Ontario",0.0962
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"London, Ontario",0.1401
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Victoria, Colombie-Britannique",0.027
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Halifax, Nouvelle-Écosse",0.0287
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Windsor, Ontario",0.1335
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saskatoon, Saskatchewan",0.1669
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. Catharines - Niagara Falls, Ontario",0.1305
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Regina, Saskatchewan",0.07
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kelowna, Colombie-Britannique",0.0906
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. John's, Terre-Neuve-et-Labrador",0.0678
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Sherbrooke, Québec",0.1055
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Barrie, Ontario",0.3196
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Guelph, Ontario",0.1346
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Trois-Rivières, Québec",0.4297
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kingston, Ontario",0.0755
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Moncton, Nouveau-Brunswick",0.0329
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Milton, Ontario",0.1382
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saint-Jérôme, Québec",0.0528
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Nanaimo, Colombie-Britannique",0.0096
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Chicoutimi - Jonquière, Québec",-1.6562
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Brantford, Ontario",0.2403
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Thunder Bay, Ontario",0.5415
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Red Deer, Alberta",0.151
2011-2021,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Sudbury, Ontario",0.0199
2011-2021,Taux de consommation des terres,Pourcentage (%),"Toronto, Ontario",0.0012
2011-2021,Taux de consommation des terres,Pourcentage (%),"Montréal, Québec",0.0018
