Year,Distance-capacité de la zone de service de transport public,Géographie,Emplacement,Genre,Démographique et socio-économique,GeoCode,Value
2023,500 mètres de tous les arrêts de transport en commun,Canada,Rural,Hommes+,65 ans et plus,11124,10.5
2023,500 mètres de tous les arrêts de transport en commun,Canada,Rural,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,10.6
2023,500 mètres de tous les arrêts de transport en commun,Canada,Rural,Femmes+,0 to 14 years,11124,10.0
2023,500 mètres de tous les arrêts de transport en commun,Canada,Rural,Femmes+,15 à 64 ans,11124,10.4
2023,500 mètres de tous les arrêts de transport en commun,Canada,Rural,Femmes+,15 à 19 ans,11124,10.0
2023,500 mètres de tous les arrêts de transport en commun,Canada,Rural,Femmes+,20 à 24 ans,11124,10.8
2023,500 mètres de tous les arrêts de transport en commun,Canada,Rural,Femmes+,65 ans et plus,11124,11.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,75.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement","Total, genre",0 to 14 years,11124,73.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement","Total, genre",15 à 64 ans,11124,75.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement","Total, genre",15 à 19 ans,11124,73.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement","Total, genre",20 à 24 ans,11124,79.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement","Total, genre",65 ans et plus,11124,75.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,74.8
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Hommes+,0 to 14 years,11124,73.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Hommes+,15 à 64 ans,11124,75.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Hommes+,15 à 19 ans,11124,73.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Hommes+,20 à 24 ans,11124,78.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Hommes+,65 ans et plus,11124,73.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,75.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Femmes+,0 to 14 years,11124,73.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Femmes+,15 à 64 ans,11124,76.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Femmes+,15 à 19 ans,11124,73.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Femmes+,20 à 24 ans,11124,79.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,"Total, emplacement",Femmes+,65 ans et plus,11124,76.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,81.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,"Total, genre",0 to 14 years,11124,79.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,"Total, genre",15 à 64 ans,11124,82.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,"Total, genre",15 à 19 ans,11124,79.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,"Total, genre",20 à 24 ans,11124,84.2
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,"Total, genre",65 ans et plus,11124,82.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,81.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Hommes+,0 to 14 years,11124,79.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Hommes+,15 à 64 ans,11124,82.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Hommes+,15 à 19 ans,11124,79.6
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Hommes+,20 à 24 ans,11124,83.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Hommes+,65 ans et plus,11124,81.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,82.1
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Femmes+,0 to 14 years,11124,79.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Femmes+,15 à 64 ans,11124,82.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Femmes+,15 à 19 ans,11124,79.7
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Femmes+,20 à 24 ans,11124,84.5
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Urbain,Femmes+,65 ans et plus,11124,83.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,10.4
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,"Total, genre",0 to 14 years,11124,10.0
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,"Total, genre",15 à 64 ans,11124,10.3
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,"Total, genre",15 à 19 ans,11124,9.9
2023,500 mètres des arrêts de transport en commun à faible capacité uniquement,Canada,Rural,"Total, genre",20 à 24 ans,11124,10.6
